70	0	-12.9
70	5	-9.17
70	10	-6.32
70	15	-4.45
70	20	-3.26
70	25	-2.54
70	30	-2.14
70	35	-1.9
70	40	-1.77
70	45	-1.72
70	50	-1.77
70	55	-1.9
70	60	-2.14
70	65	-2.54
70	70	-3.26
70	75	-4.45
70	80	-6.32
70	85	-9.17
70	90	-12.9
70	95	-13.49
70	100	-9.74
70	105	-6.57
70	110	-4.52
70	115	-3.34
70	120	-2.91
70	125	-3.15
70	130	-4.02
70	135	-5.4
70	140	-7.08
70	145	-8.67
70	150	-9.73
70	155	-10.03
70	160	-9.74
70	165	-9.19
70	170	-8.65
70	175	-8.32
70	180	-8.36
70	185	-8.92
70	190	-10.1
70	195	-11.98
70	200	-14.28
70	205	-15.28
70	210	-13.34
70	215	-10.79
70	220	-9.11
70	225	-8.54
70	230	-9.11
70	235	-10.79
70	240	-13.34
70	245	-15.28
70	250	-14.28
70	255	-11.98
70	260	-10.1
70	265	-8.92
70	270	-8.36
70	275	-8.32
70	280	-8.65
70	285	-9.19
70	290	-9.74
70	295	-10.03
70	300	-9.73
70	305	-8.67
70	310	-7.08
70	315	-5.4
70	320	-4.02
70	325	-3.15
70	330	-2.91
70	335	-3.34
70	340	-4.52
70	345	-6.57
70	350	-9.74
70	355	-13.49
70	0	-12.9
