139.715	1.0104	1.00955	1.00955	1.00839	7.31012	-2.48476	4.06927	2.64679	4.06924	2.64681	-1.72456	2.76794		-31.45	-32.11	-32.46	-22.39	28.41	-94.3	35.59	-68.84	
139.715	1.0104	1.00955	1.00955	1.00839	-4.80474	-6.04371	1.11925	-4.72352	1.11925	-4.72352	3.18742	0.689895		-77.28	-7.68	-59.1	-38.38	12.46	0.99	-48.96	64.55	
139.715	1.0104	1.00955	1.00955	1.00839	-4.85424	-6.00403	1.08036	-4.73257	1.0804	-4.73255	3.19298	0.663674		93.93	-57.3	-62.64	-10.35	61.41	-37.59	-61.79	12.13	
139.715	1.0104	1.00955	1.00955	1.00839	6.52989	4.11976	0.50208	4.82827	0.502107	4.82828	-3.23654	0.400503		11.09	-61.21	56.08	-78.07	-20.5	35.51	-92.7	16.71	
139.715	1.0104	1.00955	1.00955	1.00839	4.89346	5.97211	-1.04938	4.73953	-1.04938	4.73953	-3.19726	-0.642754		-36.38	-45.95	36.35	-5.61	-27.89	-45.96	-13.34	-66.32	
139.715	1.0104	1.00955	1.00955	1.00839	-4.98001	-5.90013	0.980185	-4.75431	0.980187	-4.75432	3.20629	0.596077		-95.88	-84.25	7.29	0.39	-99.42	80.17	-33.06	46.97	
139.715	1.0104	1.00955	1.00955	1.00839	-4.61648	-6.1887	1.26403	-4.68686	1.26407	-4.68683	3.16468	0.787659		-51.04	-2.25	-99.22	-78.68	1.51	-24.52	33.11	-37.69	
139.715	1.0104	1.00955	1.00955	1.00839	-7.00449	3.24791	-4.32762	-2.19913	-4.32759	-2.19916	1.42048	-2.93562		6.02	74.08	-46.56	-93.47	20.79	-54.37	-31.54	39.14	
139.715	1.0104	1.00955	1.00955	1.00839	-4.16452	-6.50144	1.59428	-4.58505	1.59428	-4.58504	3.10063	1.01079		10.47	-35	-5	97.29	6.23	45.15	59.73	21.1	
139.715	1.0104	1.00955	1.00955	1.00839	6.21642	4.57907	0.15332	4.8519	0.153317	4.8519	-3.25697	0.166544		11.84	3.01	-89.76	18.85	-31.39	15.48	57.71	-28.62	
139.715	1.0104	1.00955	1.00955	1.00839	2.62879	-7.25957	4.60936	-1.52255	4.60937	-1.52255	1.08304	3.07614		-33.04	95.2	-24.29	-52.43	-61.91	-98.87	5.26	72.25	
